['Chindia Târgovişte AFC Hermannstadt'],39%,2.6 3.0 4.0,2022-07-18T17:58:38.166645,2022-07-18T17:58:38.166645,0.0
['AFC UTA Arad Petrolul Ploieşti'],39%,2.6 3.15 3.9,2022-07-18T17:58:38.167634,2022-07-18T17:58:38.167634,0.0
['U Craiova 1948 SA CFR Cluj'],39%,4.1 3.2 3.9,2022-07-18T17:58:38.168636,2022-07-18T17:58:38.168636,0.0
['U Craiova 1948 SA CFR Cluj'],39%,4.1 3.2 4.2,2022-07-18T17:58:38.169658,2022-07-18T17:58:38.169658,0.0
['Mioveni Farul Constanța'],39%,3.4 3.05 3.0,2022-07-18T17:58:38.170654,2022-07-18T17:58:38.170654,0.0
['Rapid Bucureşti FCSB'],39%,3.3 3.45 3.5,2022-07-18T17:58:38.171707,2022-07-18T17:58:38.171707,0.0
['Chindia Târgovişte AFC Hermannstadt'],39%,2.45 3.1 4.0,2022-07-18T17:58:38.171707,2022-07-18T17:58:38.171707,0.0
"['Botosani', 'Chindia Targ.']",39%,2.78 3.0 4.0,2022-07-18T17:58:38.173534,2022-07-18T17:58:38.173534,0.0
"['Botosani', 'Chindia Targ.']",39%,2.75 3.0 4.0,2022-07-18T17:58:38.174548,2022-07-18T17:58:38.174548,0.0
['FC Botosani AFC Chindia Targoviste'],39%,2.6 2.9 4.0,2022-07-18T17:58:38.175548,2022-07-18T17:58:38.175548,0.0
['Mioveni - Farul Constanta'],39%,3.3 3.0 3.4,2022-07-18T17:58:38.176649,2022-07-18T17:58:38.176649,0.0
['U Craiova 1948 - CFR Cluj'],39%,4.0 3.25 4.1,2022-07-18T17:58:38.177635,2022-07-18T17:58:38.177635,0.0
['U.Cluj - U.Craiova'],39%,3.75 3.3 4.0,2022-07-18T17:58:38.178636,2022-07-18T17:58:38.178636,0.0
['Rapid Bucuresti - FCSB'],39%,3.5 3.25 3.3,2022-07-18T17:58:38.179641,2022-07-18T17:58:38.179641,0.0
['Chindia Targoviste - AFC Hermannstadt'],39%,2.6 2.95 3.95,2022-07-18T17:58:38.180654,2022-07-18T17:58:38.180654,0.0
['Chindia Targoviste - AFC Hermannstadt'],39%,2.6 2.88 4.0,2022-07-18T17:58:38.181643,2022-07-18T17:58:38.181643,0.0
['Chindia Targoviste - AFC Hermannstadt'],39%,2.6 2.95 4.0,2022-07-18T17:58:38.182603,2022-07-18T17:58:38.182603,0.0
['Chindia Targoviste - AFC Hermannstadt'],39%,2.6 3.0 4.0,2022-07-18T17:58:38.183635,2022-07-18T17:58:38.183635,0.0
